theta,correlation rate
-3.14,-0.258433
-3.13372,-0.25945
-3.12744,-0.259677
-3.12116,-0.259731
-3.11488,-0.258898
-3.1086,-0.257957
-3.10232,-0.25766
-3.09604,-0.256359
-3.08976,-0.255458
-3.08348,-0.254293
-3.0772,-0.25345
-3.07092,-0.252566
-3.06464,-0.252053
-3.05836,-0.251203
-3.05208,-0.250303
-3.0458,-0.249115
-3.03952,-0.247983
-3.03324,-0.246646
-3.02696,-0.245738
-3.02068,-0.244928
-3.0144,-0.244029
-3.00812,-0.243299
-3.00184,-0.242395
-2.99556,-0.241303
-2.98928,-0.24042
-2.983,-0.240034
-2.97672,-0.239377
-2.97044,-0.238368
-2.96416,-0.237421
-2.95788,-0.236765
-2.9516,-0.236001
-2.94532,-0.23582
-2.93904,-0.23489
-2.93276,-0.234148
-2.92648,-0.23326
-2.9202,-0.232099
-2.91392,-0.231493
-2.90764,-0.230948
-2.90136,-0.230072
-2.89508,-0.229693
-2.8888,-0.228502
-2.88252,-0.228019
-2.87624,-0.227443
-2.86996,-0.227307
-2.86368,-0.226423
-2.8574,-0.226499
-2.85112,-0.226
-2.84484,-0.225595
-2.83856,-0.225265
-2.83228,-0.225104
-2.826,-0.224865
-2.81972,-0.224608
-2.81344,-0.224335
-2.80716,-0.224075
-2.80088,-0.223927
-2.7946,-0.224054
-2.78832,-0.223652
-2.78204,-0.223911
-2.77576,-0.224018
-2.76948,-0.22398
-2.7632,-0.224361
-2.75692,-0.224293
-2.75064,-0.224715
-2.74436,-0.224619
-2.73808,-0.224801
-2.7318,-0.2253
-2.72552,-0.225702
-2.71924,-0.225745
-2.71296,-0.2262
-2.70668,-0.22638
-2.7004,-0.226917
-2.69412,-0.227429
-2.68784,-0.227867
-2.68156,-0.227528
-2.67528,-0.228163
-2.669,-0.229231
-2.66272,-0.22915
-2.65644,-0.229748
-2.65016,-0.22989
-2.64388,-0.230458
-2.6376,-0.230669
-2.63132,-0.230475
-2.62504,-0.230507
-2.61876,-0.230854
-2.61248,-0.230307
-2.6062,-0.230211
-2.59992,-0.230406
-2.59364,-0.230817
-2.58736,-0.230609
-2.58108,-0.230744
-2.5748,-0.230853
-2.56852,-0.231024
-2.56224,-0.231209
-2.55596,-0.230458
-2.54968,-0.231571
-2.5434,-0.232363
-2.53712,-0.232745
-2.53084,-0.233653
-2.52456,-0.234165
-2.51828,-0.234888
-2.512,-0.235603
-2.50572,-0.236371
-2.49944,-0.236753
-2.49316,-0.237521
-2.48688,-0.23839
-2.4806,-0.239186
-2.47432,-0.239098
-2.46804,-0.239374
-2.46176,-0.240127
-2.45548,-0.24036
-2.4492,-0.241548
-2.44292,-0.242153
-2.43664,-0.24246
-2.43036,-0.243128
-2.42408,-0.243571
-2.4178,-0.243998
-2.41152,-0.244624
-2.40524,-0.245447
-2.39896,-0.245637
-2.39268,-0.246212
-2.3864,-0.247305
-2.38012,-0.247687
-2.37384,-0.248738
-2.36756,-0.249377
-2.36128,-0.249424
-2.355,-0.25137
-2.34872,-0.251054
-2.34244,-0.25134
-2.33616,-0.250875
-2.32988,-0.251167
-2.3236,-0.251751
-2.31732,-0.251424
-2.31104,-0.251789
-2.30476,-0.251846
-2.29848,-0.252021
-2.2922,-0.252187
-2.28592,-0.252859
-2.27964,-0.253612
-2.27336,-0.253543
-2.26708,-0.253813
-2.2608,-0.25476
-2.25452,-0.255414
-2.24824,-0.255917
-2.24196,-0.255927
-2.23568,-0.25651
-2.2294,-0.256563
-2.22312,-0.25675
-2.21684,-0.25699
-2.21056,-0.256893
-2.20428,-0.257132
-2.198,-0.257611
-2.19172,-0.257674
-2.18544,-0.257626
-2.17916,-0.25757
-2.17288,-0.25732
-2.1666,-0.257522
-2.16032,-0.257371
-2.15404,-0.257065
-2.14776,-0.256814
-2.14148,-0.256631
-2.1352,-0.256516
-2.12892,-0.256166
-2.12264,-0.255829
-2.11636,-0.255451
-2.11008,-0.254894
-2.1038,-0.254153
-2.09752,-0.253348
-2.09124,-0.252588
-2.08496,-0.25168
-2.07868,-0.250764
-2.0724,-0.249861
-2.06612,-0.248789
-2.05984,-0.247633
-2.05356,-0.246591
-2.04728,-0.245557
-2.041,-0.244594
-2.03472,-0.244241
-2.02844,-0.243125
-2.02216,-0.242214
-2.01588,-0.241371
-2.0096,-0.240735
-2.00332,-0.240196
-1.99704,-0.239372
-1.99076,-0.238514
-1.98448,-0.23769
-1.9782,-0.236755
-1.97192,-0.235803
-1.96564,-0.234707
-1.95936,-0.233448
-1.95308,-0.232061
-1.9468,-0.230575
-1.94052,-0.229035
-1.93424,-0.22737
-1.92796,-0.225818
-1.92168,-0.224088
-1.9154,-0.22253
-1.90912,-0.22111
-1.90284,-0.219783
-1.89656,-0.218548
-1.89028,-0.217165
-1.884,-0.216082
-1.87772,-0.214932
-1.87144,-0.213742
-1.86516,-0.21257
-1.85888,-0.21124
-1.8526,-0.209931
-1.84632,-0.208508
-1.84004,-0.207144
-1.83376,-0.205573
-1.82748,-0.203913
-1.8212,-0.202331
-1.81492,-0.200806
-1.80864,-0.199185
-1.80236,-0.197569
-1.79608,-0.196208
-1.7898,-0.19499
-1.78352,-0.193589
-1.77724,-0.1923
-1.77096,-0.191176
-1.76468,-0.190064
-1.7584,-0.188961
-1.75212,-0.187635
-1.74584,-0.18625
-1.73956,-0.184816
-1.73328,-0.183485
-1.727,-0.182003
-1.72072,-0.180007
-1.71444,-0.178476
-1.70816,-0.177397
-1.70188,-0.176449
-1.6956,-0.17558
-1.68932,-0.175224
-1.68304,-0.174589
-1.67676,-0.174265
-1.67048,-0.173864
-1.6642,-0.173359
-1.65792,-0.173064
-1.65164,-0.172568
-1.64536,-0.172055
-1.63908,-0.171369
-1.6328,-0.170481
-1.62652,-0.169825
-1.62024,-0.169236
-1.61396,-0.168226
-1.60768,-0.167782
-1.6014,-0.167117
-1.59512,-0.166871
-1.58884,-0.166371
-1.58256,-0.166118
-1.57628,-0.165895
-1.57,-0.164327
-1.56372,-0.165136
-1.55744,-0.164652
-1.55116,-0.164266
-1.54488,-0.163116
-1.5386,-0.161428
-1.53232,-0.160056
-1.52604,-0.158181
-1.51976,-0.15654
-1.51348,-0.154285
-1.5072,-0.152348
-1.50092,-0.150618
-1.49464,-0.149317
-1.48836,-0.148295
-1.48208,-0.147262
-1.4758,-0.146106
-1.46952,-0.145159
-1.46324,-0.14434
-1.45696,-0.143382
-1.45068,-0.142477
-1.4444,-0.141316
-1.43812,-0.13957
-1.43184,-0.138024
-1.42556,-0.136502
-1.41928,-0.134779
-1.413,-0.133611
-1.40672,-0.132538
-1.40044,-0.131996
-1.39416,-0.131424
-1.38788,-0.131185
-1.3816,-0.131325
-1.37532,-0.131482
-1.36904,-0.131414
-1.36276,-0.131219
-1.35648,-0.131006
-1.3502,-0.130373
-1.34392,-0.1298
-1.33764,-0.128802
-1.33136,-0.12776
-1.32508,-0.127248
-1.3188,-0.126559
-1.31252,-0.126275
-1.30624,-0.126443
-1.29996,-0.126422
-1.29368,-0.127264
-1.2874,-0.127758
-1.28112,-0.128364
-1.27484,-0.128719
-1.26856,-0.128882
-1.26228,-0.128917
-1.256,-0.128751
-1.24972,-0.128538
-1.24344,-0.127845
-1.23716,-0.126987
-1.23088,-0.126634
-1.2246,-0.126423
-1.21832,-0.126581
-1.21204,-0.126752
-1.20576,-0.127044
-1.19948,-0.127449
-1.1932,-0.128023
-1.18692,-0.128349
-1.18064,-0.128207
-1.17436,-0.128135
-1.16808,-0.127591
-1.1618,-0.126878
-1.15552,-0.126098
-1.14924,-0.125145
-1.14296,-0.124617
-1.13668,-0.124432
-1.1304,-0.124292
-1.12412,-0.124316
-1.11784,-0.12466
-1.11156,-0.125592
-1.10528,-0.12579
-1.099,-0.126164
-1.09272,-0.126265
-1.08644,-0.126457
-1.08016,-0.126384
-1.07388,-0.126094
-1.0676,-0.125863
-1.06132,-0.125545
-1.05504,-0.125075
-1.04876,-0.124936
-1.04248,-0.124817
-1.0362,-0.124759
-1.02992,-0.125353
-1.02364,-0.125195
-1.01736,-0.125013
-1.01108,-0.124828
-1.0048,-0.124774
-0.99852,-0.124495
-0.99224,-0.123873
-0.98596,-0.123323
-0.97968,-0.123059
-0.9734,-0.122576
-0.96712,-0.121882
-0.96084,-0.12182
-0.95456,-0.121263
-0.94828,-0.121276
-0.942,-0.121477
-0.93572,-0.121503
-0.92944,-0.121325
-0.92316,-0.121506
-0.91688,-0.121559
-0.9106,-0.121271
-0.90432,-0.120677
-0.89804,-0.11982
-0.89176,-0.119431
-0.88548,-0.118923
-0.8792,-0.118317
-0.87292,-0.117513
-0.86664,-0.116893
-0.86036,-0.116462
-0.85408,-0.11572
-0.8478,-0.114968
-0.84152,-0.114323
-0.83524,-0.113681
-0.82896,-0.112533
-0.82268,-0.11179
-0.8164,-0.110239
-0.81012,-0.108998
-0.80384,-0.107754
-0.79756,-0.105627
-0.79128,-0.105842
-0.785,-0.106406
-0.77872,-0.102836
-0.77244,-0.101264
-0.76616,-0.100149
-0.75988,-0.0991007
-0.7536,-0.0982977
-0.74732,-0.0968911
-0.74104,-0.0955622
-0.73476,-0.0943075
-0.72848,-0.0928039
-0.7222,-0.0912803
-0.71592,-0.0900476
-0.70964,-0.0888038
-0.70336,-0.0874018
-0.69708,-0.0861543
-0.6908,-0.0851176
-0.68452,-0.0838844
-0.67824,-0.0824004
-0.67196,-0.0808838
-0.66568,-0.0789747
-0.6594,-0.0766447
-0.65312,-0.0743402
-0.64684,-0.0716053
-0.64056,-0.0694569
-0.63428,-0.0672146
-0.628,-0.0654125
-0.62172,-0.0637018
-0.61544,-0.0624114
-0.60916,-0.0610891
-0.60288,-0.0596615
-0.5966,-0.0580368
-0.59032,-0.0566393
-0.58404,-0.0547514
-0.57776,-0.0527536
-0.57148,-0.0505605
-0.5652,-0.0483731
-0.55892,-0.0457514
-0.55264,-0.0431909
-0.54636,-0.040657
-0.54008,-0.0384534
-0.5338,-0.0357151
-0.52752,-0.0336483
-0.52124,-0.0318548
-0.51496,-0.030445
-0.50868,-0.0288873
-0.5024,-0.0272322
-0.49612,-0.0250543
-0.48984,-0.0225376
-0.48356,-0.0197787
-0.47728,-0.0166896
-0.471,-0.0132617
-0.46472,-0.00994708
-0.45844,-0.00646681
-0.45216,-0.00354928
-0.44588,-0.000109828
-0.4396,0.00353711
-0.43332,0.00678197
-0.42704,0.0104256
-0.42076,0.0146266
-0.41448,0.0189843
-0.4082,0.0232953
-0.40192,0.0274959
-0.39564,0.0318383
-0.38936,0.0362527
-0.38308,0.0405134
-0.3768,0.0447293
-0.37052,0.0488156
-0.36424,0.0527517
-0.35796,0.057011
-0.35168,0.0608074
-0.3454,0.0645608
-0.33912,0.0686784
-0.33284,0.0729463
-0.32656,0.0772643
-0.32028,0.0807488
-0.314,0.0865259
-0.30772,0.0914168
-0.30144,0.0962967
-0.29516,0.101075
-0.28888,0.105931
-0.2826,0.110918
-0.27632,0.115896
-0.27004,0.120793
-0.26376,0.125539
-0.25748,0.130281
-0.2512,0.134538
-0.24492,0.13818
-0.23864,0.142688
-0.23236,0.147152
-0.22608,0.151928
-0.2198,0.157453
-0.21352,0.164341
-0.20724,0.172768
-0.20096,0.182185
-0.19468,0.192505
-0.1884,0.203193
-0.18212,0.213505
-0.17584,0.222737
-0.16956,0.231413
-0.16328,0.238912
-0.157,0.245988
-0.15072,0.253186
-0.14444,0.260836
-0.13816,0.269704
-0.13188,0.280446
-0.1256,0.293458
-0.11932,0.30845
-0.11304,0.324465
-0.10676,0.340876
-0.10048,0.357805
-0.0942,0.372499
-0.08792,0.386691
-0.08164,0.398141
-0.07536,0.409743
-0.06908,0.421537
-0.0628,0.436576
-0.05652,0.456246
-0.05024,0.48241
-0.04396,0.51862
-0.03768,0.565143
-0.0314,0.623708
-0.02512,0.691436
-0.01884,0.767078
-0.01256,0.850113
-0.00628,0.90185
-2.21923e-14,0.916436
0.00628,0.882699
0.01256,0.831436
0.01884,0.75246
0.02512,0.678229
0.0314,0.61225
0.03768,0.555041
0.04396,0.509625
0.05024,0.474151
0.05652,0.448474
0.0628,0.428992
0.06908,0.414735
0.07536,0.403001
0.08164,0.391647
0.08792,0.380141
0.0942,0.366258
0.10048,0.351951
0.10676,0.335267
0.11304,0.319138
0.11932,0.303324
0.1256,0.28846
0.13188,0.275843
0.13816,0.265496
0.14444,0.256415
0.15072,0.24912
0.157,0.24182
0.16328,0.235158
0.16956,0.227464
0.17584,0.21898
0.18212,0.209766
0.1884,0.199482
0.19468,0.188968
0.20096,0.178936
0.20724,0.169481
0.21352,0.161189
0.2198,0.154461
0.22608,0.148977
0.23236,0.144194
0.23864,0.139972
0.24492,0.135116
0.2512,0.131916
0.25748,0.127661
0.26376,0.122948
0.27004,0.118389
0.27632,0.113435
0.2826,0.108485
0.28888,0.103493
0.29516,0.098679
0.30144,0.0939233
0.30772,0.0892329
0.314,0.0842822
0.32028,0.0786959
0.32656,0.0751024
0.33284,0.0707795
0.33912,0.0666949
0.3454,0.0625896
0.35168,0.0586792
0.35796,0.0549208
0.36424,0.0508484
0.37052,0.0469465
0.3768,0.0427691
0.38308,0.0384254
0.38936,0.0343362
0.39564,0.0298989
0.40192,0.025575
0.4082,0.0213487
0.41448,0.017097
0.42076,0.012817
0.42704,0.00851672
0.43332,0.00495613
0.4396,0.00172677
0.44588,-0.00193115
0.45216,-0.00525308
0.45844,-0.00849623
0.46472,-0.0119889
0.471,-0.0153511
0.47728,-0.0187799
0.48356,-0.0216493
0.48984,-0.0244565
0.49612,-0.0270572
0.5024,-0.029045
0.50868,-0.0306927
0.51496,-0.0323535
0.52124,-0.0338865
0.52752,-0.0356942
0.5338,-0.0377099
0.54008,-0.0405136
0.54636,-0.0426714
0.55264,-0.0451369
0.55892,-0.0477633
0.5652,-0.0503893
0.57148,-0.0525548
0.57776,-0.0547872
0.58404,-0.0569568
0.59032,-0.05856
0.5966,-0.0601414
0.60288,-0.0617861
0.60916,-0.063299
0.61544,-0.0647057
0.62172,-0.0661162
0.628,-0.0677662
0.63428,-0.0695756
0.64056,-0.0716734
0.64684,-0.0740816
0.65312,-0.0766739
0.6594,-0.0788886
0.66568,-0.0812294
0.67196,-0.0832434
0.67824,-0.0848735
0.68452,-0.0864881
0.6908,-0.0876691
0.69708,-0.0888383
0.70336,-0.0901175
0.70964,-0.0915851
0.71592,-0.0928604
0.7222,-0.0942263
0.72848,-0.0957864
0.73476,-0.0972096
0.74104,-0.0985441
0.74732,-0.099952
0.7536,-0.101499
0.75988,-0.102497
0.76616,-0.103727
0.77244,-0.104952
0.77872,-0.10704
0.785,-0.110182
0.79128,-0.109703
0.79756,-0.110315
0.80384,-0.11187
0.81012,-0.113308
0.8164,-0.114555
0.82268,-0.116341
0.82896,-0.117261
0.83524,-0.118643
0.84152,-0.119513
0.8478,-0.12007
0.85408,-0.121129
0.86036,-0.122025
0.86664,-0.122678
0.87292,-0.123507
0.8792,-0.1242
0.88548,-0.125135
0.89176,-0.125991
0.89804,-0.126706
0.90432,-0.127689
0.9106,-0.128312
0.91688,-0.128733
0.92316,-0.12889
0.92944,-0.128978
0.93572,-0.129277
0.942,-0.1295
0.94828,-0.129604
0.95456,-0.1297
0.96084,-0.129995
0.96712,-0.130282
0.9734,-0.130817
0.97968,-0.131361
0.98596,-0.131741
0.99224,-0.131895
0.99852,-0.132215
1.0048,-0.132374
1.01108,-0.132385
1.01736,-0.132308
1.02364,-0.131841
1.02992,-0.131324
1.0362,-0.130345
1.04248,-0.129558
1.04876,-0.128236
1.05504,-0.127341
1.06132,-0.126081
1.0676,-0.125176
1.07388,-0.124599
1.08016,-0.123904
1.08644,-0.122659
1.09272,-0.121824
1.099,-0.120002
1.10528,-0.119142
1.11156,-0.117002
1.11784,-0.115965
1.12412,-0.11385
1.1304,-0.111957
1.13668,-0.110214
1.14296,-0.108556
1.14924,-0.107214
1.15552,-0.105438
1.1618,-0.104285
1.16808,-0.102584
1.17436,-0.101473
1.18064,-0.099637
1.18692,-0.0981686
1.1932,-0.0964111
1.19948,-0.0937167
1.20576,-0.09209
1.21204,-0.0899507
1.21832,-0.0883437
1.2246,-0.0869881
1.23088,-0.0855211
1.23716,-0.0841723
1.24344,-0.082992
1.24972,-0.0817939
1.256,-0.0804412
1.26228,-0.0786675
1.26856,-0.0763194
1.27484,-0.0742692
1.28112,-0.0717997
1.2874,-0.068622
1.29368,-0.0656802
1.29996,-0.0631775
1.30624,-0.0607643
1.31252,-0.0587067
1.3188,-0.0569524
1.32508,-0.0547755
1.33136,-0.0540988
1.33764,-0.0529202
1.34392,-0.0516523
1.3502,-0.0505517
1.35648,-0.0490002
1.36276,-0.0481149
1.36904,-0.046669
1.37532,-0.0441304
1.3816,-0.0425364
1.38788,-0.0404693
1.39416,-0.0385956
1.40044,-0.0374933
1.40672,-0.0351242
1.413,-0.035121
1.41928,-0.0353122
1.42556,-0.0345149
1.43184,-0.0341799
1.43812,-0.0341576
1.4444,-0.0337565
1.45068,-0.0336462
1.45696,-0.0327721
1.46324,-0.032373
1.46952,-0.0317893
1.4758,-0.0306992
1.48208,-0.0300872
1.48836,-0.0294416
1.49464,-0.0284039
1.50092,-0.0282899
1.5072,-0.0291588
1.51348,-0.029821
1.51976,-0.0311022
1.52604,-0.0312279
1.53232,-0.0314359
1.5386,-0.032735
1.54488,-0.033056
1.55116,-0.0326395
1.55744,-0.0328164
1.56372,-0.0338067
1.57,-0.0336655
1.57628,-0.0302933
1.58256,-0.0304751
1.58884,-0.0308547
1.59512,-0.0302048
1.6014,-0.029359
1.60768,-0.0289487
1.61396,-0.028605
1.62024,-0.0285603
1.62652,-0.0286218
1.6328,-0.0282853
1.63908,-0.028362
1.64536,-0.0281811
1.65164,-0.0275596
1.65792,-0.0268947
1.6642,-0.0269655
1.67048,-0.0262866
1.67676,-0.0259124
1.68304,-0.0264455
1.68932,-0.0262318
1.6956,-0.0261192
1.70188,-0.0261673
1.70816,-0.0263029
1.71444,-0.0270848
1.72072,-0.0274523
1.727,-0.0278693
1.73328,-0.0293389
1.73956,-0.0307472
1.74584,-0.031292
1.75212,-0.0315827
1.7584,-0.031891
1.76468,-0.0325324
1.77096,-0.0329918
1.77724,-0.033848
1.78352,-0.034557
1.7898,-0.035343
1.79608,-0.0366228
1.80236,-0.037907
1.80864,-0.0394089
1.81492,-0.0401463
1.8212,-0.0421518
1.82748,-0.0436349
1.83376,-0.0448302
1.84004,-0.0460433
1.84632,-0.0476569
1.8526,-0.0488675
1.85888,-0.0503663
1.86516,-0.05158
1.87144,-0.0530682
1.87772,-0.0537789
1.884,-0.055375
