theta,correlation rate
-3.14,-0.243814
-3.13372,-0.244424
-3.12744,-0.244565
-3.12116,-0.239901
-3.11488,-0.238402
-3.1086,-0.238134
-3.10232,-0.236443
-3.09604,-0.234425
-3.08976,-0.235396
-3.08348,-0.233977
-3.0772,-0.233389
-3.07092,-0.235801
-3.06464,-0.236762
-3.05836,-0.238434
-3.05208,-0.23959
-3.0458,-0.240817
-3.03952,-0.240596
-3.03324,-0.240084
-3.02696,-0.241445
-3.02068,-0.241819
-3.0144,-0.241948
-3.00812,-0.243172
-3.00184,-0.241771
-2.99556,-0.243098
-2.98928,-0.240975
-2.983,-0.237988
-2.97672,-0.236804
-2.97044,-0.238166
-2.96416,-0.23911
-2.95788,-0.237597
-2.9516,-0.237646
-2.94532,-0.245473
-2.93904,-0.23871
-2.93276,-0.239218
-2.92648,-0.240308
-2.9202,-0.241109
-2.91392,-0.238646
-2.90764,-0.240055
-2.90136,-0.243324
-2.89508,-0.244148
-2.8888,-0.241373
-2.88252,-0.23889
-2.87624,-0.239761
-2.86996,-0.23672
-2.86368,-0.235526
-2.8574,-0.236421
-2.85112,-0.238371
-2.84484,-0.238373
-2.83856,-0.23844
-2.83228,-0.235601
-2.826,-0.231096
-2.81972,-0.231722
-2.81344,-0.23244
-2.80716,-0.234003
-2.80088,-0.234485
-2.7946,-0.23721
-2.78832,-0.23554
-2.78204,-0.233809
-2.77576,-0.232627
-2.76948,-0.232044
-2.7632,-0.233128
-2.75692,-0.234017
-2.75064,-0.234706
-2.74436,-0.23567
-2.73808,-0.236028
-2.7318,-0.243155
-2.72552,-0.244022
-2.71924,-0.246371
-2.71296,-0.246322
-2.70668,-0.24819
-2.7004,-0.247048
-2.69412,-0.244183
-2.68784,-0.243663
-2.68156,-0.24488
-2.67528,-0.244039
-2.669,-0.244102
-2.66272,-0.244771
-2.65644,-0.246218
-2.65016,-0.247751
-2.64388,-0.250168
-2.6376,-0.253221
-2.63132,-0.25311
-2.62504,-0.25547
-2.61876,-0.257275
-2.61248,-0.256662
-2.6062,-0.252451
-2.59992,-0.248318
-2.59364,-0.246395
-2.58736,-0.241625
-2.58108,-0.237775
-2.5748,-0.233516
-2.56852,-0.229561
-2.56224,-0.229106
-2.55596,-0.219735
-2.54968,-0.233757
-2.5434,-0.236423
-2.53712,-0.239592
-2.53084,-0.241284
-2.52456,-0.243123
-2.51828,-0.246613
-2.512,-0.247139
-2.50572,-0.248908
-2.49944,-0.250775
-2.49316,-0.249276
-2.48688,-0.249114
-2.4806,-0.247401
-2.47432,-0.244489
-2.46804,-0.243235
-2.46176,-0.239782
-2.45548,-0.239494
-2.4492,-0.240565
-2.44292,-0.240545
-2.43664,-0.241469
-2.43036,-0.242438
-2.42408,-0.24498
-2.4178,-0.250719
-2.41152,-0.252892
-2.40524,-0.255104
-2.39896,-0.255645
-2.39268,-0.25922
-2.3864,-0.263244
-2.38012,-0.263186
-2.37384,-0.264534
-2.36756,-0.278209
-2.36128,-0.275523
-2.355,-0.275341
-2.34872,-0.275552
-2.34244,-0.277416
-2.33616,-0.279236
-2.32988,-0.278722
-2.3236,-0.275372
-2.31732,-0.27318
-2.31104,-0.272737
-2.30476,-0.274578
-2.29848,-0.273337
-2.2922,-0.27157
-2.28592,-0.268398
-2.27964,-0.268402
-2.27336,-0.265654
-2.26708,-0.266768
-2.2608,-0.266756
-2.25452,-0.276051
-2.24824,-0.276715
-2.24196,-0.277566
-2.23568,-0.280201
-2.2294,-0.284469
-2.22312,-0.285069
-2.21684,-0.285474
-2.21056,-0.285376
-2.20428,-0.285922
-2.198,-0.282377
-2.19172,-0.282214
-2.18544,-0.278763
-2.17916,-0.275447
-2.17288,-0.271943
-2.1666,-0.272105
-2.16032,-0.271305
-2.15404,-0.273055
-2.14776,-0.272319
-2.14148,-0.27198
-2.1352,-0.273516
-2.12892,-0.274074
-2.12264,-0.278254
-2.11636,-0.275604
-2.11008,-0.276202
-2.1038,-0.274488
-2.09752,-0.269739
-2.09124,-0.270365
-2.08496,-0.266818
-2.07868,-0.263879
-2.0724,-0.260634
-2.06612,-0.257983
-2.05984,-0.255658
-2.05356,-0.256446
-2.04728,-0.255532
-2.041,-0.253557
-2.03472,-0.253543
-2.02844,-0.253599
-2.02216,-0.255116
-2.01588,-0.256394
-2.0096,-0.254404
-2.00332,-0.253959
-1.99704,-0.250263
-1.99076,-0.247765
-1.98448,-0.24428
-1.9782,-0.242354
-1.97192,-0.239475
-1.96564,-0.236149
-1.95936,-0.2366
-1.95308,-0.236784
-1.9468,-0.23733
-1.94052,-0.23627
-1.93424,-0.237624
-1.92796,-0.234815
-1.92168,-0.23426
-1.9154,-0.23254
-1.90912,-0.232552
-1.90284,-0.232706
-1.89656,-0.232173
-1.89028,-0.232065
-1.884,-0.231609
