x,y
0,3252
1,787
2,420
3,223
4,186
5,161
6,145
7,142
8,145
9,112
10,112
11,122
12,93
13,92
14,110
15,94
16,86
17,91
18,85
19,85
20,89
21,87
22,86
23,88
24,84
25,68
26,78
27,79
28,64
29,57
30,70
31,83
32,91
33,67
34,81
35,64
36,71
37,70
38,81
39,58
40,61
41,68
42,62
43,72
44,57
45,55
46,76
47,60
48,51
49,58
50,46
51,61
52,57
53,58
54,59
55,60
56,57
57,64
58,64
59,60
60,58
61,59
62,60
63,59
64,68
65,59
66,59
67,61
68,61
69,64
70,63
71,55
72,54
73,62
74,59
75,54
76,58
77,59
78,56
79,56
80,50
81,54
82,65
83,55
84,52
85,72
86,51
87,56
88,51
89,56
90,63
91,62
92,53
93,60
94,63
95,52
96,63
97,66
98,56
99,67
100,69
101,61
102,52
103,55
104,60
105,51
106,75
107,48
108,67
109,54
110,72
111,59
112,63
113,67
114,42
115,48
116,46
117,64
118,55
119,74
120,53
121,47
122,59
123,57
124,52
125,57
126,56
127,59
128,54
129,68
130,59
131,57
132,53
133,71
134,75
135,55
136,65
137,57
138,69
139,52
140,65
141,68
142,64
143,68
144,66
145,74
146,52
147,65
148,45
149,71
150,62
151,57
152,71
153,65
154,78
155,86
156,61
157,78
158,68
159,66
160,83
161,58
162,53
163,67
164,64
165,76
166,64
167,71
168,73
169,97
170,90
171,81
172,79
173,71
174,59
175,63
176,51
177,55
178,67
179,60
180,67
181,69
182,67
183,73
184,86
185,91
186,86
187,90
188,81
189,97
190,75
191,69
192,77
193,63
194,67
195,68
196,70
197,71
198,70
199,80
200,72
201,75
202,88
203,115
204,111
205,85
206,83
207,69
208,69
209,63
210,62
211,55
212,68
213,57
214,73
215,59
216,56
217,70
218,92
219,72
220,101
221,146
222,117
223,112
224,86
225,73
226,65
227,54
228,58
229,47
230,47
231,53
232,50
233,50
234,52
235,66
236,98
237,114
238,165
239,131
240,86
241,70
242,47
243,36
244,44
245,31
246,35
247,34
248,36
249,32
250,40
251,57
252,44
253,59
254,189
255,8821
