x,y
0,2427.43
1,3094.35
2,3461.9
3,3659.38
4,3824.64
5,3967.82
6,4096.7
7,4222.76
8,4351.31
9,4450.36
10,4549.04
11,4656.16
12,4737.48
13,4817.49
14,4912.7
15,4993.67
16,5067.32
17,5144.79
18,5216.72
19,5288.19
20,5362.55
21,5434.79
22,5505.75
23,5577.89
24,5646.3
25,5701.26
26,5763.81
27,5826.69
28,5877.22
29,5921.81
30,5976.07
31,6039.89
32,6109.37
33,6160.13
34,6220.97
35,6268.63
36,6321.02
37,6372.2
38,6430.91
39,6472.56
40,6515.9
41,6563.74
42,6606.91
43,6656.54
44,6695.43
45,6732.52
46,6783.23
47,6822.85
48,6856.12
49,6893.51
50,6922.78
51,6961.11
52,6996.49
53,7032.04
54,7067.75
55,7103.61
56,7137.23
57,7174.5
58,7211.3
59,7245.36
60,7277.83
61,7310.4
62,7343.07
63,7374.74
64,7410.74
65,7441.54
66,7471.88
67,7502.78
68,7533.23
69,7564.69
70,7595.19
71,7621.39
72,7646.68
73,7675.23
74,7701.95
75,7725.98
76,7751.32
77,7776.65
78,7800.24
79,7823.39
80,7843.64
81,7865.07
82,7890.37
83,7911.34
84,7930.75
85,7957.09
86,7975.35
87,7994.95
88,8012.38
89,8031.06
90,8051.59
91,8071.33
92,8087.78
93,8105.93
94,8124.52
95,8139.44
96,8157.03
97,8174.97
98,8189.76
99,8206.96
100,8224.17
101,8238.94
102,8251.12
103,8263.55
104,8276.64
105,8287.36
106,8302.57
107,8311.93
108,8324.48
109,8334.18
110,8346.57
111,8356.3
112,8366.21
113,8376.26
114,8382.22
115,8388.61
116,8394.34
117,8401.8
118,8407.78
119,8415.3
120,8420.29
121,8424.32
122,8428.9
123,8432.88
124,8436.09
125,8439.15
126,8441.72
127,8443.97
128,8445.6
129,8447.15
130,8448.05
131,8448.49
132,8448.47
133,8447.91
134,8446.83
135,8445.64
136,8443.74
137,8441.65
138,8438.61
139,8435.92
140,8432.07
141,8427.56
142,8422.86
143,8417.38
144,8411.6
145,8404.62
146,8399.33
147,8392.22
148,8386.95
149,8378.09
150,8369.91
151,8361.97
152,8351.56
153,8341.58
154,8329.09
155,8314.82
156,8304.29
157,8290.31
158,8277.68
159,8264.95
160,8248.43
161,8236.49
162,8225.17
163,8210.36
164,8195.77
165,8177.93
166,8162.49
167,8144.86
168,8126.26
169,8101.01
170,8077.13
171,8055.18
172,8033.31
173,8013.2
174,7996.08
175,7977.34
176,7961.79
177,7944.59
178,7923.14
179,7903.52
180,7881.14
181,7857.62
182,7834.33
183,7808.49
184,7777.53
185,7744.29
186,7712.43
187,7678.61
188,7647.73
189,7610.25
190,7580.86
191,7553.38
192,7522.23
193,7496.34
194,7468.34
195,7439.47
196,7409.3
197,7378.24
198,7347.17
199,7311.18
200,7278.35
201,7243.69
202,7202.53
203,7148.26
204,7095.48
205,7054.68
206,7014.4
207,6980.49
208,6946.14
209,6914.37
210,6882.67
211,6854.16
212,6818.45
213,6788.13
214,6748.82
215,6716.67
216,6685.75
217,6646.64
218,6594.73
219,6553.72
220,6495.69
221,6411.42
222,6343.64
223,6278.41
224,6227.95
225,6184.72
226,6145.82
227,6113.14
228,6077.64
229,6048.54
230,6019.08
231,5985.47
232,5953.41
233,5920.99
234,5886.9
235,5843.2
236,5777.81
237,5701.36
238,5590.52
239,5502.43
240,5444.33
241,5396.66
242,5364.36
243,5339.34
244,5308.43
245,5286.42
246,5261.28
247,5236.59
248,5210.17
249,5186.43
250,5156.45
251,5113.34
252,5079.78
253,5034.38
254,4888.7
255,9.21201e-12
