p_x,loss
-50,0.267376
-49.9,0.264322
-49.8,0.2627
-49.7,0.26149
-49.6,0.260691
-49.5,0.260305
-49.4,0.260331
-49.3,0.260769
-49.2,0.261618
-49.1,0.26288
-49,0.264554
-48.9,0.261409
-48.8,0.25979
-48.7,0.258589
-48.6,0.257805
-48.5,0.257439
-48.4,0.257491
-48.3,0.25796
-48.2,0.258846
-48.1,0.26015
-48,0.260753
-47.9,0.258727
-47.8,0.257122
-47.7,0.255939
-47.6,0.255178
-47.5,0.254838
-47.4,0.25492
-47.3,0.255424
-47.2,0.256349
-47.1,0.257696
-47,0.258266
-46.9,0.256239
-46.8,0.25464
-46.7,0.253469
-46.6,0.252727
-46.5,0.252412
-46.4,0.252525
-46.3,0.253066
-46.2,0.254036
-46.1,0.255433
-46,0.255911
-45.9,0.25382
-45.8,0.252164
-45.7,0.250943
-45.6,0.250158
-45.5,0.249808
-45.4,0.249893
-45.3,0.250414
-45.2,0.251369
-45.1,0.25276
-45,0.252937
-44.9,0.250826
-44.8,0.249156
-44.7,0.247927
-44.6,0.247139
-44.5,0.246793
-44.4,0.246888
-44.3,0.247423
-44.2,0.248401
-44.1,0.249819
-44,0.249926
-43.9,0.247814
-43.8,0.246146
-43.7,0.24492
-43.6,0.244138
-43.5,0.243798
-43.4,0.243902
-43.3,0.24445
-43.2,0.24544
-43.1,0.246874
-43,0.247094
-42.9,0.244934
-42.8,0.243223
-42.7,0.241961
-42.6,0.241146
-42.5,0.240781
-42.4,0.240864
-42.3,0.241395
-42.2,0.242375
-42.1,0.243803
-42,0.243881
-41.9,0.241613
-41.8,0.239796
-41.7,0.23843
-41.6,0.237515
-41.5,0.237052
-41.4,0.23704
-41.3,0.237479
-41.2,0.238369
-41.1,0.239711
-41,0.239585
-40.9,0.237198
-40.8,0.235265
-40.7,0.233786
-40.6,0.232761
-40.5,0.23219
-40.4,0.232073
-40.3,0.23241
-40.2,0.233201
-40.1,0.234446
-40,0.234274
-39.9,0.231826
-39.8,0.229834
-39.7,0.228299
-39.6,0.227222
-39.5,0.226601
-39.4,0.226437
-39.3,0.22673
-39.2,0.22748
-39.1,0.228687
-39,0.228541
